DestinationRef,DestinationType,ShipToID,Longitude,Latitude,Suburb,City,SA4,State,Country
4009BR,Branch,4009BR,"145,1204126","-37,71540486",Montmorency,Banyule,Melbourne - North East,Victoria,Australia
4010BR,Branch,4010BR,"144,8657393","-37,84063787",Newport,Hobsons Bay,Melbourne - West,Victoria,Australia
4011BR,Branch,4011BR,"145,00468","-37,8191486",Richmond,Yarra,Melbourne - Inner,Victoria,Australia
4012BR,Branch,4012BR,"144,860853","-37,812546",West Footscray,Maribyrnong,Melbourne - West,Victoria,Australia
4013BR,Branch,4138BR,"145,234618","-37,99893",Doveton,Casey,Melbourne - South East,Victoria,Australia
4014BR,Branch,4014BR,"145,0659391","-37,97583132",Mentone,Kingston,Melbourne - Inner South,Victoria,Australia
4015BR,Branch,4131BR,"145,2790597","-37,8829931",Ferntree Gully,Knox,Melbourne - Outer East,Victoria,Australia
4016BR,Branch,4016BR,"144,9708","-37,7743",Brunswick,Moreland,Melbourne - Inner,Victoria,Australia
4017BR,Branch,4017BR,"144,7200875","-37,58637712",Sunbury,Hume,Melbourne - North West,Victoria,Australia
4018BR,Branch,4018BR,"145,0584762","-38,23667212",Mornington,Mornington Peninsula,Mornington Peninsula,Victoria,Australia
4019BR,Branch,4019BR,"144,9263511","-37,77123154",Moonee Ponds,Moonee Valley,Melbourne - Inner,Victoria,Australia
4020BR,Branch,4709BR,"146,924368","-36,07808",Albury,Albury,Murray,New South Wales,Australia
4021BR,Branch,4721BR,"146,2571341","-38,17475095",Moe,Latrobe,Latrobe - Gippsland,Victoria,Australia
4022BR,Branch,4022BR,"144,35138","-38,16133",Geelong,Greater Geelong,Geelong,Victoria,Australia
4023BR,Branch,4023BR,"144,9560949","-37,82934561",South Melbourne,Port Phillip,Melbourne - Inner,Victoria,Australia
4024BR,Branch,4024BR,"144,8908988","-37,72477737",Airport West,Moonee Valley,Melbourne - North West,Victoria,Australia
4025BR,Branch,4025BR,"142,029113","-37,742979",Hamilton,Southern Grampians,Warrnambool and South West,Victoria,Australia
4026BR,Branch,4026BR,"142,1693306","-34,18769632",Mildura,Mildura,North West,Victoria,Australia
4027BR,Branch,4027BR,"145,4043632","-36,38185151",Shepparton,Greater Shepparton,Shepparton,Victoria,Australia
4028BR,Branch,4028BR,"144,9893289","-38,33371112",Dromana,Mornington Peninsula,Mornington Peninsula,Victoria,Australia
4029BR,Branch,4029BR,"144,5945","-37,68383",Melton,Melton,Melbourne - West,Victoria,Australia
4030BR,Branch,4030BR,"147,5975264","-37,83751143",Bairnsdale,East Gippsland,Latrobe - Gippsland,Victoria,Australia
4031BR,Branch,4031BR,"144,2720725","-36,76199482",Bendigo,Greater Bendigo,Bendigo,Victoria,Australia
4032BR,Branch,4032BR,"145,1018","-37,85105",Burwood,Whitehorse,Melbourne - Inner East,Victoria,Australia
4033BR,Branch,4033BR,"145,345599","-37,75653361",Lilydale,Yarra Ranges,Melbourne - Outer East,Victoria,Australia
4034BR,Branch,4034BR,"145,5168462","-37,65406038",Healesville,Yarra Ranges,Melbourne - Outer East,Victoria,Australia
4035BR,Branch,4035BR,"145,0762491","-37,8336322",Camberwell,Boroondara,Melbourne - Inner East,Victoria,Australia
4036BR,Branch,4036BR,"143,86468","-37,560753",Ballarat,Ballarat,Ballarat,Victoria,Australia
4037BR,Branch,4037BR,"147,0676912","-38,10033814",Sale,Wellington,Latrobe - Gippsland,Victoria,Australia
4038BR,Branch,4038BR,"144,8299","-37,7722",Sunshine North,Brimbank,Melbourne - West,Victoria,Australia
4039BR,Branch,4039BR,"144,85663","-38,3693",Tootgarook,Mornington Peninsula,Mornington Peninsula,Victoria,Australia
4040BR,Branch,4040BR,"145,1989186","-37,99092037",Dandenong,Greater Dandenong,Melbourne - South East,Victoria,Australia
4042BR,Branch,4042BR,"144,702","-37,88085",Hoppers Crossing,Wyndham,Melbourne - West,Victoria,Australia
4043BR,Branch,4043BR,"145,282571","-38,10200838",Cranbourne,Casey,Melbourne - South East,Victoria,Australia
4044BR,Branch,4044BR,"145,589865","-38,601436",Wonthaggi,Bass Coast,Latrobe - Gippsland,Victoria,Australia
4045BR,Branch,4045BR,"142,48747","-38,38129586",Warrnambool,Warrnambool,Warrnambool and South West,Victoria,Australia
4046BR,Branch,4046BR,"145,4616579","-38,06334137",Pakenham,Cardinia,Melbourne - South East,Victoria,Australia
4047BR,Branch,4047BR,"146,5537285","-38,19230403",Traralgon,Latrobe,Latrobe - Gippsland,Victoria,Australia
4048BR,Branch,4048BR,"144,9539429","-37,656412",Campbellfield,Hume,Melbourne - North West,Victoria,Australia
4050BR,Branch,4050BR,"145,4401272","-37,93211191",Emerald,Cardinia,Melbourne - South East,Victoria,Australia
4051BR,Branch,4051BR,"144,7319","-36,14022",Echuca,Campaspe,Shepparton,Victoria,Australia
4052BR,Branch,4052BR,"145,1552","-37,6735",Diamond Creek,Nillumbik,Melbourne - North East,Victoria,Australia
4053BR,Branch,4053BR,"146,8615","-36,1109",Wodonga,Wodonga,Hume,Victoria,Australia
4054BR,Branch,4054BR,"142,20343","-36,718463",Horsham,Horsham,North West,Victoria,Australia
4055BR,Branch,4055BR,"145,1414","-37,9231",Clayton,Monash,Melbourne - South East,Victoria,Australia
4057BR,Branch,4005BR,"145,2158831","-37,8295045",Ringwood,Maroondah,Melbourne - Outer East,Victoria,Australia
4058BR,Branch,4058BR,"144,983356","-37,864143",St Kilda,Port Phillip,Melbourne - Inner,Victoria,Australia
4059BR,Branch,4059BR,"145,1835979","-38,29249211",Hastings,Mornington Peninsula,Mornington Peninsula,Victoria,Australia
4060BR,Branch,4060BR,"143,5572017","-35,33295587",Swan Hill,Swan Hill,North West,Victoria,Australia
4061BR,Branch,4061BR,"145,1680588","-37,74906742",Templestowe,Manningham,Melbourne - Inner East,Victoria,Australia
4062BR,Branch,4795BR,"144,845177","-37,693748",Melbourne Airport,Hume,Melbourne - North West,Victoria,Australia
4063BR,Branch,4038BR,"144,8299","-37,7722",Sunshine North,Brimbank,Melbourne - West,Victoria,Australia
4064BR,Branch,4055BR,"145,1414","-37,9231",Clayton,Monash,Melbourne - South East,Victoria,Australia
4065BR,Branch,4065BR,"143,5898294","-38,34199305",Colac,Colac-Otway,Warrnambool and South West,Victoria,Australia
4066BR,Branch,4066BR,"145,0171691","-37,85506434",Armadale,Stonnington,Melbourne - Inner,Victoria,Australia
4067BR,Branch,4709BR,"146,924368","-36,07808",Albury,Albury,Murray,New South Wales,Australia
4068BR,Branch,4068BR,"143,816152","-37,567962",Alfredton,Ballarat,Ballarat,Victoria,Australia
4069BR,Branch,4033BR,"145,345459","-37,756889",Lilydale,Yarra Ranges,Melbourne - Outer East,Victoria,Australia
4070BR,Branch,4018BR,"145,0584762","-38,23667212",Mornington,Mornington Peninsula,Mornington Peninsula,Victoria,Australia
4071BR,Branch,4066BR,"145,0171691","-37,85506434",Armadale,Stonnington,Melbourne - Inner,Victoria,Australia
4073BR,Branch,4073BR,"144,3440473","-38,10743994",Bell Park,Greater Geelong,Geelong,Victoria,Australia
4074BR,Branch,4074BR,"145,12161","-37,02126",Seymour,Mitchell,Hume,Victoria,Australia
4075BR,Branch,4075BR,"144,5379948","-38,2517732",Ocean Grove,Greater Geelong,Geelong,Victoria,Australia
4078BR,Branch,4078BR,"146,3134521","-36,36697766",Wangaratta,Wangaratta,Hume,Victoria,Australia
4079BR,Branch,4079BR,"145,9385608","-38,16626518",Warragul,Baw Baw,Latrobe - Gippsland,Victoria,Australia
4080BR,Branch,4080BR,"144,4583487","-37,24145857",Kyneton,Macedon Ranges,Bendigo,Victoria,Australia
4081BR,Branch,4081BR,"145,037","-37,8047",Kew,Boroondara,Melbourne - Inner East,Victoria,Australia
4082BR,Branch,4082BR,"144,3188064","-38,3091309",Torquay,Surf Coast,Geelong,Victoria,Australia
4084BR,Branch,4048BR,"144,953942","-37,656412",Campbellfield,Hume,Melbourne - North West,Victoria,Australia
4085BR,Branch,4085BR,"144,7541584","-37,76208158",Ravenhall,Melton,Melbourne - West,Victoria,Australia
4086BR,Branch,4086BR,"145,0792497","-37,65668532",Mill Park,Whittlesea,Melbourne - North East,Victoria,Australia
4087BR,Branch,4087BR,"144,6705426","-37,89514056",Werribee,Wyndham,Melbourne - West,Victoria,Australia
4090BR,Branch,4090BR,"145,1015453","-37,8506115",Burwood,Whitehorse,Melbourne - Inner East,Victoria,Australia
4091BR,Branch,4880BR,"145,237585","-38,026643",Dandenong South,Greater Dandenong,Melbourne - South East,Victoria,Australia
4093BR,Branch,4095BR,"144,85939","-37,792561",Braybrook,Maribyrnong,Melbourne - West,Victoria,Australia
4095BR,Branch,4095BR,"144,85939","-37,792561",Braybrook,Maribyrnong,Melbourne - West,Victoria,Australia
4097BR,Branch,4097BR,"145,3130617","-38,02479503",Narre Warren,Casey,Melbourne - South East,Victoria,Australia
4098BR,Branch,4098BR,"141,6041521","-38,33755841",Portland,Glenelg,Warrnambool and South West,Victoria,Australia
4099BR,Branch,4099BR,"145,6100494","-37,78176944",Yarra Junction,Yarra Ranges,Melbourne - Outer East,Victoria,Australia
4100BR,Branch,4100BR,"144,9751814","-37,7241199",Coburg North,Moreland,Melbourne - North West,Victoria,Australia
4101BR,Branch,4101BR,"145,24976","-38,45763085",Cowes,Bass Coast,Latrobe - Gippsland,Victoria,Australia
4102BR,Branch,4001BR,"145,0244257","-37,88721417",Caulfield,Glen Eira,Melbourne - Inner South,Victoria,Australia
4103BR,Branch,4103BR,"144,2056","-37,07243",Castlemaine,Mount Alexander,Bendigo,Victoria,Australia
4104BR,Branch,4048BR,"144,953942","-37,656412",Campbellfield,Hume,Melbourne - North West,Victoria,Australia
4105BR,Branch,4880BR,"145,237585","-38,026643",Dandenong South,Greater Dandenong,Melbourne - South East,Victoria,Australia
4106BR,Branch,4795BR,"144,7496662","-37,77625402",Melbourne Airport,Melton,Melbourne - West,Victoria,Australia
4107BR,Branch,4086BR,"145,0792497","-37,65668532",Mill Park,Whittlesea,Melbourne - North East,Victoria,Australia
4108BR,Branch,4108BR,"146,0033246","-36,54602129",Benalla,Benalla,Hume,Victoria,Australia
4110BR,Branch,4110BR,"146,0885","-37,04511",Mansfield,Mansfield,Hume,Victoria,Australia
4111BR,Branch,4111BR,"142,9472882","-37,28424561",Ararat,Ararat,North West,Victoria,Australia
4112BR,Branch,4112BR,"144,3035","-36,7485",East Bendigo,Greater Bendigo,Bendigo,Victoria,Australia
4113BR,Branch,4046BR,"145,4616579","-38,06334137",Pakenham,Cardinia,Melbourne - South East,Victoria,Australia
4114BR,Branch,4114BR,"145,096042","-37,925873",Oakleigh,Kingston,Melbourne - South East,Victoria,Australia
4115BR,Branch,4073BR,"144,3413","-38,1066",Bell Park,Greater Geelong,Geelong,Victoria,Australia
4117BR,Branch,4217BR,"143,808432","-37,575869",Delacombe,Ballarat,Ballarat,Victoria,Australia
4118BR,Branch,4118BR,"146,959743","-36,045356",Lavington,Albury,Murray,New South Wales,Australia
4119BR,Branch,4119BR,"144,950034","-37,28138653",Kilmore,Mitchell,Hume,Victoria,Australia
4120BR,Branch,4120BR,"148,0007831","-37,87343079",Lakes Entrance,East Gippsland,Latrobe - Gippsland,Victoria,Australia
4121BR,Branch,4121BR,"144,5765","-38,1739",Drysdale,Greater Geelong,Geelong,Victoria,Australia
4122BR,Branch,4122BR,"145,995668","-36,030907",Yarrawonga,Moira,Shepparton,Victoria,Australia
4124BR,Branch,4124BR,"144,3485","-38,1171",North Geelong,Greater Geelong,Geelong,Victoria,Australia
4125BR,Branch,4125BR,"145,9449062","-38,4725699",Leongatha,South Gippsland,Latrobe - Gippsland,Victoria,Australia
4126BR,Branch,4126BR,"145,1137","-37,51775",Whittlesea,Whittlesea,Melbourne - North East,Victoria,Australia
4127BR,Branch,4127BR,"145,179115","-38,222402",Somerville,Mornington Peninsula,Mornington Peninsula,Victoria,Australia
4129BR,Branch,4129BR,"145,167198","-38,088932",Carrum Downs,Frankston,Mornington Peninsula,Victoria,Australia
4130BR,Branch,4053BR,"146,8615","-36,1109",Wodonga,Wodonga,Hume,Victoria,Australia
4131BR,Branch,4131BR,"145,2790597","-37,8829931",Ferntree Gully,Knox,Melbourne - Outer East,Victoria,Australia
4133BR,Branch,4133BR,"146,435212","-38,235961",Morwell,Latrobe,Latrobe - Gippsland,Victoria,Australia
4134BR,Branch,4134BR,"145,128568","-38,089335",Seaford,Frankston,Mornington Peninsula,Victoria,Australia
4135BR,Branch,4135BR,"144,7962629","-37,7007507",Taylors Lakes,Brimbank,Melbourne - West,Victoria,Australia
4136BR,Branch,4011BR,"145,012305","-37,819699",Richmond,Yarra,Melbourne - Inner,Victoria,Australia
4138BR,Branch,4138BR,"145,234618","-37,99893",Doveton,Casey,Melbourne - South East,Victoria,Australia
4139BR,Branch,4008BR,"145,0569538","-37,7519823",Heidelberg West,Banyule,Melbourne - North East,Victoria,Australia
4141BR,Branch,4141BR,"144,44134","-37,68792",Bacchus Marsh,Moorabool,Melbourne - West,Victoria,Australia
4142BR,Branch,4143BR,"145,009424","-37,817811",Richmond,Yarra,Melbourne - Inner,Victoria,Australia
4143BR,Branch,4143BR,"145,009424","-37,817811",Richmond,Yarra,Melbourne - Inner,Victoria,Australia
4144BR,Branch,4144BR,"145,243274","-37,90556",Rowville,Knox,Melbourne - Outer East,Victoria,Australia
4145BR,Branch,4720BR,"144,2428","-36,80765",Kangaroo Flat,Greater Bendigo,Bendigo,Victoria,Australia
4146BR,Branch,4720BR,"144,2428","-36,80765",Kangaroo Flat,Greater Bendigo,Bendigo,Victoria,Australia
4147BR,Branch,4720BR,"144,2428","-36,80765",Kangaroo Flat,Greater Bendigo,Bendigo,Victoria,Australia
4148BR,Branch,4148BR,"144,34667","-38,193623",GROVEDALE,Greater Geelong,Geelong,Victoria,Australia
4149BR,Branch,4149BR,"144,364182","-38,172989",South Geelong,Greater Geelong,Geelong,Victoria,Australia
4150BR,Branch,4150BR,"145,843838","-38,12065",Drouin,Baw Baw,Latrobe - Gippsland,Victoria,Australia
4151BR,Branch,4151BR,"142,45542","-38,37134",Warrnambool,Warrnambool,Warrnambool and South West,Victoria,Australia
4153BR,Branch,4153BR,"145,282682","-37,829492",Bayswater North,Maroondah,Melbourne - Outer East,Victoria,Australia
4154BR,Branch,4118BR,"146,959743","-36,045356",Lavington,Albury,Murray,New South Wales,Australia
4155BR,Branch,4155BR,"145,010655","-37,907507",Brighton East,Bayside,Melbourne - Inner South,Victoria,Australia
4157BR,Branch,4158BR,"145,02341","-37,76864",Fairfield,Darebin,Melbourne - Inner,Victoria,Australia
4158BR,Branch,4158BR,"145,02341","-37,76864",Fairfield,Darebin,Melbourne - Inner,Victoria,Australia
4159BR,Branch,4158BR,"145,02341","-37,76864",Fairfield,Darebin,Melbourne - Inner,Victoria,Australia
4161BR,Branch,4721BR,"146,2571341","-38,17475095",Moe,Latrobe,Latrobe - Gippsland,Victoria,Australia
4165BR,Branch,4024BR,"144,890906","-37,724769",Airport West,Moonee Valley,Melbourne - North West,Victoria,Australia
4166BR,Branch,4029BR,"144,5945","-37,68383",Melton,Melton,Melbourne - West,Victoria,Australia
4168BR,Branch,4168BR,"144,876524","-37,779379",Maidstone,Maribyrnong,Melbourne - West,Victoria,Australia
4169BR,Branch,4169BR,"144,936359","-37,794781",North Melbourne,Melbourne,Melbourne - Inner,Victoria,Australia
4172BR,Branch,4172BR,"144,91904","-37,832065",Port Melbourne,Port Phillip,Melbourne - Inner,Victoria,Australia
4176BR,Branch,4176BR,"145,1356135","-38,0357077",Chelsea Heights,Kingston,Melbourne - Inner South,Victoria,Australia
4177BR,Branch,4155BR,"145,010655","-37,907507",Brighton East,Bayside,Melbourne - Inner South,Victoria,Australia
4178BR,Branch,4178BR,"144,907271","-37,7433564",Essendon,Moonee Valley,Melbourne - Inner,Victoria,Australia
4179BR,Branch,4179BR,"143,835738","-37,541236",Wendouree,Ballarat,Ballarat,Victoria,Australia
4180BR,Branch,4180BR,"144,99383","-37,798963",Abbotsford,Yarra,Melbourne - Inner,Victoria,Australia
4181BR,Branch,4153BR,"145,282682","-37,829492",Bayswater North,Maroondah,Melbourne - Outer East,Victoria,Australia
4182BR,Branch,4182BR,"144,271471","-36,77023",Golden Square,Greater Bendigo,Bendigo,Victoria,Australia
4183BR,Branch,4183BR,"145,187219","-37,832215",Vermont,Whitehorse,Melbourne - Outer East,Victoria,Australia
4184BR,Branch,4795BR,"144,845177","-37,693748",Melbourne Airport,Hume,Melbourne - North West,Victoria,Australia
4185BR,Branch,4185BR,"144,3660633","-38,1725818",South Geelong,Greater Geelong,Geelong,Victoria,Australia
4186BR,Branch,4186BR,"145,257876","-38,015063",Hallam,Casey,Melbourne - South East,Victoria,Australia
4187BR,Branch,4187BR,"144,787627","-37,819546",Laverton North,Wyndham,Melbourne - West,Victoria,Australia
4188BR,Branch,4026BR,"142,178162","-34,195041",Mildura,Mildura,North West,Victoria,Australia
4189BR,Branch,4189BR,"145,076062","-37,943831",Moorabbin,Kingston,Melbourne - Inner South,Victoria,Australia
4190BR,Branch,4190BR,"145,16273","-37,920976",Mulgrave,Monash,Melbourne - South East,Victoria,Australia
4191BR,Branch,4191BR,"145,020174","-37,746135",Preston,Darebin,Melbourne - North East,Victoria,Australia
4192BR,Branch,4192BR,"145,4187645","-36,38805087",Shepparton,Greater Shepparton,Shepparton,Victoria,Australia
4193BR,Branch,4047BR,"146,554424","-38,191357",Traralgon,Latrobe,Latrobe - Gippsland,Victoria,Australia
4194BR,Branch,4194BR,"144,933784","-37,803313",West Melbourne,Melbourne,Melbourne - Inner,Victoria,Australia
4195BR,Branch,4195BR,"146,919625","-36,093302",Albury,Albury,Murray,New South Wales,Australia
4197BR,Branch,4197BR,"146,9619","-36,063194",Thurgoona,Albury,Murray,New South Wales,Australia
4198BR,Branch,4198BR,"145,260608","-38,010194",Hallam,Casey,Melbourne - South East,Victoria,Australia
4200BR,Branch,4217BR,"143,808432","-37,575869",Delacombe,Ballarat,Ballarat,Victoria,Australia
4201BR,Branch,4153BR,"145,282682","-37,829492",Bayswater North,Maroondah,Melbourne - Outer East,Victoria,Australia
4202BR,Branch,4202BR,"145,2099","-38,004806",Dandenong,Greater Dandenong,Melbourne - South East,Victoria,Australia
4203BR,Branch,4203BR,"144,7472255","-37,7762874",Ravenhall,Melton,Melbourne - West,Victoria,Australia
4204BR,Branch,4204BR,"145,033283","-37,689958",Thomastown,Whittlesea,Melbourne - North East,Victoria,Australia
4205BR,Branch,4205BR,"146,570096","-38,189516",Traralgon,Latrobe,Latrobe - Gippsland,Victoria,Australia
4206BR,Branch,4206BR,"144,309382","-36,749578",Bendigo,Greater Bendigo,Bendigo,Victoria,Australia
4207BR,Branch,4149BR,"144,364182","-38,172989",South Geelong,Greater Geelong,Geelong,Victoria,Australia
4209BR,Branch,4129BR,"145,167198","-38,088932",Carrum Downs,Frankston,Mornington Peninsula,Victoria,Australia
4212BR,Branch,4212BR,"144,937168","-37,83085",Port Melbourne,Port Phillip,Melbourne - Inner,Victoria,Australia
4213BR,Branch,4213BR,"145,033268","-37,689957",Thomastown,Whittlesea,Melbourne - North East,Victoria,Australia
4214BR,Branch,4153BR,"145,282682","-37,829492",Bayswater North,Maroondah,Melbourne - Outer East,Victoria,Australia
4215BR,Branch,4795BR,"144,845177","-37,693748",Melbourne Airport,Hume,Melbourne - North West,Victoria,Australia
4217BR,Branch,4217BR,"143,808432","-37,575869",Delacombe,Ballarat,Ballarat,Victoria,Australia
4218BR,Branch,4129BR,"145,167816","-38,089142",Carrum Downs,Frankston,Mornington Peninsula,Victoria,Australia
4219BR,Branch,4068BR,"143,816152","-37,567962",Ballarat,Ballarat,Ballarat,Victoria,Australia
4220BR,Branch,4006BR,"145,1415008","-38,11319832",Seaford,Frankston,Mornington Peninsula,Victoria,Australia
4222BR,Branch,4095BR,"144,85939","-37,792561",Braybrook,Maribyrnong,Melbourne - West,Victoria,Australia
4225BR,Branch,4192BR,"145,4196977","-36,38792675",Shepparton,Greater Shepparton,Shepparton,Victoria,Australia
4226BR,Branch,4138BR,"145,234618","-37,99893",Doveton,Casey,Melbourne - South East,Victoria,Australia
4229BR,Branch,4192BR,"145,4200827","-36,3879182",Shepparton,Greater Shepparton,Shepparton,Victoria,Australia
4230BR,Branch,4721BR,"146,25721","-38,17459",Moe,Latrobe,Latrobe - Gippsland,Victoria,Australia
4603BR,Branch,4910BR,"144,9933686","-37,8300515",Cremorne,Yarra,Melbourne - Inner,Victoria,Australia
4702BR,Branch,4055BR,"145,1414","-37,9231",Clayton,Monash,Melbourne - South East,Victoria,Australia
4703BR,Branch,4038BR,"144,8299","-37,7722",Sunshine North,Brimbank,Melbourne - West,Victoria,Australia
4712BR,Branch,4048BR,"144,9533749","-37,6564783",Campbellfield,Hume,Melbourne - North West,Victoria,Australia
4719BR,Branch,4158BR,"145,02341","-37,76864",Fairfield,Darebin,Melbourne - Inner,Victoria,Australia
4913BR,Branch,4910BR,"144,9933686","-37,8300515",Cremorne,Yarra,Melbourne - Inner,Victoria,Australia
5001BR,Branch,5001BR,"153,383682","-27,932671",Biggera Waters,Gold Coast,Gold Coast,Queensland,Australia
5002BR,Branch,5002BR,"153,0503721","-27,6624256",Browns Plains,Logan,Logan - Beaudesert,Queensland,Australia
5003BR,Branch,5003BR,"153,05026","-27,3693",Geebung,Brisbane,Brisbane - North,Queensland,Australia
5004BR,Branch,5004BR,"153,4319","-28,0399",Mermaid Beach,Gold Coast,Gold Coast,Queensland,Australia
5005BR,Branch,5005BR,"153,4245901","-28,10438543",Burleigh Heads,Gold Coast,Gold Coast,Queensland,Australia
5006BR,Branch,5710BR,"152,99352","-27,42008",Enoggera,Brisbane,Brisbane - West,Queensland,Australia
5007BR,Branch,5007BR,"153,112187","-27,620193",Underwood,Logan,Logan - Beaudesert,Queensland,Australia
5008BR,Branch,5008BR,"153,2010572","-27,53432824",Capalaba,Redland,Brisbane - East,Queensland,Australia
5009BR,Branch,5709BR,"152,9502225","-27,11152914",Morayfield,Moreton Bay,Moreton Bay - North,Queensland,Australia
5011BR,Branch,5080BR,"153,0935","-26,6731",Maroochydore,Sunshine Coast,Sunshine Coast,Queensland,Australia
5012BR,Branch,5012BR,"153,0059975","-27,47642855",West End,Brisbane,,Queensland,Australia
5013BR,Branch,5013BR,"153,04859","-26,41105",Noosaville,Sunshine Coast,Sunshine Coast,Queensland,Australia
5014BR,Branch,5014BR,"153,0297589","-27,3996969",Kedron,Brisbane,Brisbane - North,Queensland,Australia
5015BR,Branch,5015BR,"153,111729","-26,796294",Caloundra West,Sunshine Coast,Sunshine Coast,Queensland,Australia
5016BR,Branch,5016BR,"152,761","-27,608",North Ipswich,Ipswich,Ipswich,Queensland,Australia
5017BR,Branch,5017BR,"152,8308909","-25,28530716",Pialba,Fraser Coast,Wide Bay,Queensland,Australia
5019BR,Branch,5705BR,"153,344432","-28,006707",Nerang,Gold Coast,Gold Coast,Queensland,Australia
5021BR,Branch,5701BR,"145,7602069","-16,93157891",Cairns,Cairns,Cairns,Queensland,Australia
5022BR,Branch,5022BR,"146,7815622","-19,2719048",Currajong,Townsville,Townsville,Queensland,Australia
5023BR,Branch,5023BR,"139,5052571","-20,70350247",Sunset,Mount Isa,Queensland - Outback,Queensland,Australia
5024BR,Branch,5024BR,"149,190085","-21,140923",Mackay,Mackay,Mackay - Isaac - Whitsunday,Queensland,Australia
5026BR,Branch,5026BR,"153,5352","-28,2044",Tweed Heads South,Tweed,Richmond - Tweed,New South Wales,Australia
5027BR,Branch,5027BR,"152,3568709","-24,86521136",Bundaberg,Bundaberg,Wide Bay,Queensland,Australia
5028BR,Branch,5028BR,"153,045071","-27,491422",Woolloongabba,Brisbane,Brisbane Inner City,Queensland,Australia
5029BR,Branch,5029BR,"151,9494574","-27,55652265",Toowoomba,Toowoomba,Toowoomba,Queensland,Australia
5030BR,Branch,5030BR,"153,0848","-27,4572559",Morningside,Brisbane,,Queensland,Australia
5032BR,Branch,5032BR,"148,6895678","-20,28228104",Cannonvale,Whitsunday,Mackay - Isaac - Whitsunday,Queensland,Australia
5033BR,Branch,5033BR,"153,1839514","-27,72006776",Beenleigh,Logan,Logan - Beaudesert,Queensland,Australia
5034BR,Branch,5034BR,"153,0432","-27,4392",Albion,Brisbane,Brisbane Inner City,Queensland,Australia
5035BR,Branch,5035BR,"150,5070566","-23,380566",Rockhampton,Rockhampton,Central Queensland,Queensland,Australia
5036BR,Branch,5036BR,"145,7453","-17,00334",Edmonton,Cairns,Cairns,Queensland,Australia
5039BR,Branch,5039BR,"145,6947942","-16,83555271",Smithfield,Cairns,Cairns,Queensland,Australia
5041BR,Branch,5041BR,"152,983126","-27,317116",Brendale,Moreton Bay,Moreton Bay - South,Queensland,Australia
5042BR,Branch,5048BR,"153,3141373","-27,88491993",Oxenford,Gold Coast,Gold Coast,Queensland,Australia
5043BR,Branch,5043BR,"153,0827","-27,2347",Clontarf,Moreton Bay,Moreton Bay - North,Queensland,Australia
5044BR,Branch,5044BR,"152,9776157","-27,49322388",Taringa,Brisbane,Brisbane - West,Queensland,Australia
5045BR,Branch,5045BR,"153,1729164","-27,44746126",Wynnum,Brisbane,Brisbane - East,Queensland,Australia
5046BR,Branch,5046BR,"145,74571","-16,914425",Cairns,Cairns,Cairns,Queensland,Australia
