DestinationRef,DestinationType,ShipToID,Longitude,Latitude,Suburb,City,SA4,State,Country
5047BR,Branch,5703BR,"153,098238","-27,532538",Mansfield,Brisbane,Brisbane - South,Queensland,Australia
5048BR,Branch,5048BR,"153,314119","-27,888307",Oxenford,Gold Coast,Gold Coast,Queensland,Australia
5049BR,Branch,5701BR,"145,7602069","-16,93157891",Cairns,Cairns,Cairns,Queensland,Australia
5050BR,Branch,5050BR,"146,0194748","-17,52414272",Innisfail,Cassowary Coast,Cairns,Queensland,Australia
5051BR,Branch,5051BR,"153,024597","-27,836175",Jimboomba,Logan,Logan - Beaudesert,Queensland,Australia
5054BR,Branch,5054BR,"151,924","-27,5734",Toowoomba West,Toowoomba,Toowoomba,Queensland,Australia
5055BR,Branch,5704BR,"146,7195","-19,32004373",Condon,Townsville,Townsville,Queensland,Australia
5056BR,Branch,5704BR,"146,7195","-19,32004373",Condon,Townsville,Townsville,Queensland,Australia
5057BR,Branch,5057BR,"146,777418","-19,266345",Garbutt,Townsville,Townsville,Queensland,Australia
5058BR,Branch,5895BR,"153,0858067","-27,42",Eagle Farm,Brisbane,Brisbane - North,Queensland,Australia
5059BR,Branch,5059BR,"149,1586","-21,1290136",Mount Pleasant,Mackay,Mackay - Isaac - Whitsunday,Queensland,Australia
5060BR,Branch,5060BR,"153,070069","-26,526178",Coolum Beach,Sunshine Coast,Sunshine Coast,Queensland,Australia
5061BR,Branch,5044BR,"152,97637","-27,495112",Indooroopilly,Brisbane,Brisbane - West,Queensland,Australia
5062BR,Branch,5062BR,"152,919762","-27,614946",Carole Park,Ipswich,Ipswich,Queensland,Australia
5063BR,Branch,5063BR,"145,466516","-16,536798",Craiglie,Cairns,Cairns,Queensland,Australia
5064BR,Branch,5064BR,"153,4103228","-28,00814614",Bundall,Gold Coast,Gold Coast,Queensland,Australia
5065BR,Branch,5065BR,"150,743089","-23,139949",Yeppoon,Rockhampton,Central Queensland,Queensland,Australia
5066BR,Branch,5066BR,"152,919028","-27,654251",Springfield,Ipswich,Ipswich,Queensland,Australia
5067BR,Branch,5067BR,"152,0367417","-28,21679751",Warwick,Southern Downs,Darling Downs - Maranoa,Queensland,Australia
5068BR,Branch,5048BR,"153,314119","-27,888307",Oxenford,Gold Coast,Gold Coast,Queensland,Australia
5070BR,Branch,5070BR,"150,50874","-23,337847",Kawana,Rockhampton,Central Queensland,Queensland,Australia
5071BR,Branch,5895BR,"153,0403106","-27,4489307",Bowen Hills,Brisbane,Brisbane Inner City,Queensland,Australia
5072BR,Branch,5072BR,"152,702896","-25,540485",Maryborough,Fraser Coast,Wide Bay,Queensland,Australia
5073BR,Branch,5073BR,"148,152871","-23,524846",Emerald,Central Highlands,Central Queensland,Queensland,Australia
5074BR,Branch,5060BR,"153,070069","-26,526178",Coolum Beach,Sunshine Coast,Sunshine Coast,Queensland,Australia
5076BR,Branch,5064BR,"153,411285","-28,003067",Bundall,Gold Coast,Gold Coast,Queensland,Australia
5077BR,Branch,5077BR,"152,95084","-26,6321",Burnside,Sunshine Coast,Sunshine Coast,Queensland,Australia
5080BR,Branch,5080BR,"153,093027","-26,673336",Maroochydore,Sunshine Coast,Sunshine Coast,Queensland,Australia
5081BR,Branch,5081BR,"153,2392158","-27,7605889",Yatala,Gold Coast,Gold Coast,Queensland,Australia
5082BR,Branch,5705BR,"153,344432","-28,006707",Carrara,Gold Coast,Gold Coast,Queensland,Australia
5084BR,Branch,5709BR,"152,9502225","-27,11152914",Morayfield,Moreton Bay,Moreton Bay - North,Queensland,Australia
5087BR,Branch,5087BR,"148,23196","-20,00893",Bowen,Whitsunday,Mackay - Isaac - Whitsunday,Queensland,Australia
5091BR,Branch,5895BR,"153,0853782","-27,421208",Eagle Farm,Brisbane,Brisbane - North,Queensland,Australia
5092BR,Branch,5710BR,"152,99352","-27,42008",Enoggera,Brisbane,Brisbane - West,Queensland,Australia
5093BR,Branch,5710BR,"152,99352","-27,42008",Enoggera,Brisbane,Brisbane - West,Queensland,Australia
5094BR,Branch,5710BR,"152,99352","-27,42008",Enoggera,Brisbane,Brisbane - West,Queensland,Australia
5095BR,Branch,5095BR,"152,655818","-26,187334",Gympie,Gympie,Wide Bay,Queensland,Australia
5097BR,Branch,5097BR,"145,475764","-17,253774",Atherton,Tablelands,Cairns,Queensland,Australia
5098BR,Branch,5098BR,"153,128662","-26,725134",Warana,Sunshine Coast,Sunshine Coast,Queensland,Australia
5099BR,Branch,5099BR,"151,841452","-26,560331",Kingaroy,South Burnett,Wide Bay,Queensland,Australia
5101BR,Branch,5101BR,"152,738886","-27,660246",Yamanto,Ipswich,Ipswich,Queensland,Australia
5104BR,Branch,5104BR,"153,283958","-27,625523",Redland Bay,Redland,Brisbane - East,Queensland,Australia
5106BR,Branch,5106BR,"153,040691","-27,486454",East Brisbane,Brisbane,Brisbane Inner City,Queensland,Australia
5107BR,Branch,5107BR,"153,022208","-27,561018",Coopers Plains,Brisbane,Brisbane - South,Queensland,Australia
5111BR,Branch,5111BR,"153,004567","-27,229208",North Lakes,Moreton Bay,Moreton Bay - South,Queensland,Australia
5112BR,Branch,5112BR,"152,934939","-27,563136",Sumner Park BC,Brisbane,Ipswich,Queensland,Australia
5113BR,Branch,5113BR,"151,247304","-27,173923",Dalby,Western Downs,Darling Downs - Maranoa,Queensland,Australia
5114BR,Branch,5114BR,"151,273622","-23,878681",Toolooa,Gladstone,Central Queensland,Queensland,Australia
5115BR,Branch,5115BR,"153,188936","-27,678504",Loganholme,Logan,Logan - Beaudesert,Queensland,Australia
5116BR,Branch,5116BR,"148,012608","-21,986402",Moranbah,Isaac,Mackay - Isaac - Whitsunday,Queensland,Australia
5117BR,Branch,5117BR,"146,820404","-19,309328",Idalia,Townsville,Townsville,Queensland,Australia
5125BR,Branch,5125BR,"152,988284","-27,3253",Brendale,Moreton Bay,Moreton Bay - South,Queensland,Australia
5126BR,Branch,5126BR,"152,358611","-24,866222",Bundaberg,Bundaberg,Wide Bay,Queensland,Australia
5127BR,Branch,5127BR,"145,7615311","-16,9397825",Cairns,Cairns,Cairns,Queensland,Australia
5128BR,Branch,5128BR,"153,202094","-27,529865",Capalaba,Redland,Brisbane - East,Queensland,Australia
5129BR,Branch,5129BR,"151,231032","-23,868648",Gladstone,Gladstone,Central Queensland,Queensland,Australia
5131BR,Branch,5131BR,"152,825147","-25,285032",Hervey Bay,Fraser Coast,Wide Bay,Queensland,Australia
5132BR,Branch,5132BR,"152,750418","-27,62266",Ipswich,Ipswich,Ipswich,Queensland,Australia
5133BR,Branch,5133BR,"149,193763","-21,14311",Mackay,Mackay,Mackay - Isaac - Whitsunday,Queensland,Australia
5134BR,Branch,5134BR,"153,086559","-26,670518",Buderim,Sunshine Coast,Sunshine Coast,Queensland,Australia
5135BR,Branch,5070BR,"150,5087309","-23,3378508",Kawana,Rockhampton,Central Queensland,Queensland,Australia
5136BR,Branch,5136BR,"153,0365015","-27,5422296",Salisbury,Brisbane,Brisbane - South,Queensland,Australia
5137BR,Branch,5137BR,"153,120876","-27,624967",Slacks Creek,Logan,Logan - Beaudesert,Queensland,Australia
5138BR,Branch,5138BR,"153,408957","-27,979599",Southport,Gold Coast,Gold Coast,Queensland,Australia
5139BR,Branch,5139BR,"153,007934","-27,443421",Kelvin Grove,Brisbane,Brisbane Inner City,Queensland,Australia
5140BR,Branch,5140BR,"146,75984","-19,271363",Garbutt,Townsville,Townsville,Queensland,Australia
5141BR,Branch,5141BR,"153,542369","-28,200456",Tweed Heads South,Tweed,Richmond - Tweed,New South Wales,Australia
5142BR,Branch,5142BR,"153,0230988","-27,5612781",Coopers Plains,Brisbane,Brisbane - South,Queensland,Australia
5144BR,Branch,5703BR,"153,098238","-27,532538",Mansfield,Brisbane,Brisbane - South,Queensland,Australia
5146BR,Branch,5146BR,"152,9461","-27,070857",Caboolture,Moreton Bay,Moreton Bay - North,Queensland,Australia
5147BR,Branch,5147BR,"153,009926","-27,442443",Kelvin Grove,Brisbane,Brisbane Inner City,Queensland,Australia
5148BR,Branch,5148BR,"151,910347","-27,547656",Wilsonton,Toowoomba,Toowoomba,Queensland,Australia
5149BR,Branch,5046BR,"145,745718","-16,914433",Manunda,Cairns,Cairns,Queensland,Australia
5150BR,Branch,5062BR,"152,919897","-27,614766",Carole Park,Ipswich,Ipswich,Queensland,Australia
5151BR,Branch,5151BR,"153,046401","-26,41892",Noosaville,Sunshine Coast,Sunshine Coast,Queensland,Australia
5152BR,Branch,5895BR,"153,0871426","-27,4209493",Eagle Farm,Brisbane,Brisbane - North,Queensland,Australia
5153BR,Branch,5153BR,"153,377787","-27,976353",Molendinar,Gold Coast,Gold Coast,Queensland,Australia
5154BR,Branch,5057BR,"146,777876","-19,266403",Garbutt,Townsville,Townsville,Queensland,Australia
5157BR,Branch,5023BR,"139,50526","-20,703498",Sunset,Mount Isa,Queensland - Outback,Queensland,Australia
5158BR,Branch,5709BR,"152,950185","-27,111534",Morayfield,Moreton Bay,Moreton Bay - North,Queensland,Australia
5159BR,Branch,5159BR,"152,99288","-27,20832",Narangba,Moreton Bay,Moreton Bay - North,Queensland,Australia
5160BR,Branch,5160BR,"153,118554","-26,797123",Caloundra West,Sunshine Coast,Sunshine Coast,Queensland,Australia
5161BR,Branch,5161BR,"153,09882","-27,458038",Murarrie,Brisbane,Brisbane - East,Queensland,Australia
5169BR,Branch,5026BR,"153,53575","-28,20559",Tweed Heads South,Tweed,Richmond - Tweed,New South Wales,Australia
5172BR,Branch,5172BR,"151,947475","-27,565474",Toowoomba,Toowoomba,Toowoomba,Queensland,Australia
5174BR,Branch,5174BR,"146,758059","-19,279357",Garbutt,Townsville,Townsville,Queensland,Australia
5710BR,Branch,5710BR,"152,99352","-27,42008",Enoggera,Brisbane,Brisbane - West,Queensland,Australia
5886BR,Branch,5142BR,"153,0230988","-27,5612781",Coopers Plains,Brisbane,Brisbane - South,Queensland,Australia
6002BR,Branch,6002BR,"138,559756","-34,9419902",Richmond,West Torrens,Adelaide - West,South Australia,Australia
6003BR,Branch,6003BR,"138,6304596","-34,91333095",Stepney,Norwood Payneham St Peters,Adelaide - Central and Hills,South Australia,Australia
6004BR,Branch,6004BR,"138,555723","-35,064891",O`Halloran Hill,Marion,Adelaide - South,South Australia,Australia
6005BR,Branch,6005BR,"138,664621","-34,770631",Salisbury Plain,Salisbury,Adelaide - North,South Australia,Australia
6006BR,Branch,6006BR,"138,7067674","-34,82892027",St Agnes,Tea Tree Gully,Adelaide - North,South Australia,Australia
6007BR,Branch,6007BR,"138,5388","-34,988",Morphettville,Marion,Adelaide - South,South Australia,Australia
6008BR,Branch,6702BR,"138,591483","-34,92505",Adelaide,Adelaide,Adelaide - Central and Hills,South Australia,Australia
6009BR,Branch,6702BR,"138,591483","-34,92505",Adelaide,Adelaide,Adelaide - Central and Hills,South Australia,Australia
6011BR,Branch,6011BR,"138,590885","-34,848834",Kilburn,Port Adelaide Enfield,Adelaide - North,South Australia,Australia
6012BR,Branch,6703BR,"138,493","-35,1172",Lonsdale,Onkaparinga,Adelaide - South,South Australia,Australia
6013BR,Branch,6013BR,"140,79152","-37,81515",Mount Gambier,Mount Gambier,South Australia - South East,South Australia,Australia
6014BR,Branch,6014BR,"138,8755","-35,0755",Mt Barker,Mount Barker,Adelaide - Central and Hills,South Australia,Australia
6015BR,Branch,6015BR,"138,571575","-34,845084",Wingfield,Port Adelaide Enfield,Adelaide - West,South Australia,Australia
6016BR,Branch,6016BR,"138,738","-34,5911",Willaston,Gawler,Adelaide - North,South Australia,Australia
6017BR,Branch,6017BR,"138,5136349","-34,87697089",Hendon,Charles Sturt,Adelaide - West,South Australia,Australia
6018BR,Branch,6018BR,"138,5922945","-34,98560625",Daw Park,Mitcham,Adelaide - South,South Australia,Australia
6019BR,Branch,6019BR,"138,6142908","-35,55808987",Victor Harbor,Victor Harbor,South Australia - South East,South Australia,Australia
6020BR,Branch,6020BR,"137,5306504","-33,0311957",Whyalla Norrie,Whyalla,South Australia - Outback,South Australia,Australia
6021BR,Branch,6021BR,"138,6384273","-34,87038729",Klemzig,Port Adelaide Enfield,Adelaide - North,South Australia,Australia
6022BR,Branch,6022BR,"135,860228","-34,723849",Port Lincoln,Port Lincoln,South Australia - Outback,South Australia,Australia
6023BR,Branch,6023BR,"139,2552644","-35,12394431",Murray Bridge,Murray Bridge,South Australia - South East,South Australia,Australia
6024BR,Branch,6024BR,"140,76115","-36,9518",Naracoorte,Naracoorte and Lucindale,South Australia - South East,South Australia,Australia
6026BR,Branch,6026BR,"140,6029104","-34,26772084",Berri,Berri and Barmera,South Australia - South East,South Australia,Australia
6028BR,Branch,6028BR,"137,696","-33,9594",Kadina,Copper Coast,Barossa - Yorke - Mid North,South Australia,Australia
6029BR,Branch,6029BR,"138,505468","-34,851976",Port Adelaide,Port Adelaide Enfield,Adelaide - West,South Australia,Australia
6030BR,Branch,6021BR,"138,6384273","-34,87038729",Klemzig,Port Adelaide Enfield,Adelaide - North,South Australia,Australia
6031BR,Branch,6703BR,"138,493","-35,1172",Lonsdale,Onkaparinga,Adelaide - South,South Australia,Australia
6032BR,Branch,6032BR,"138,506882","-35,110178",Lonsdale,Onkaparinga,Adelaide - South,South Australia,Australia
6033BR,Branch,6033BR,"138,62658","-34,921259",Norwood,Norwood Payneham St Peters,Adelaide - Central and Hills,South Australia,Australia
6037BR,Branch,6037BR,"138,478","-35,191",Seaford,Onkaparinga,Adelaide - South,South Australia,Australia
6041BR,Branch,6041BR,"138,682682","-34,876209",Newton,Campbelltown,Adelaide - Central and Hills,South Australia,Australia
6042BR,Branch,6042BR,"138,615797","-35,017856",Blackwood,Mitcham,Adelaide - South,South Australia,Australia
6043BR,Branch,6702BR,"138,591483","-34,92505",Adelaide,Adelaide,Adelaide - Central and Hills,South Australia,Australia
6044BR,Branch,6044BR,"138,607695","-34,796821",Green Fields,Salisbury,Adelaide - North,South Australia,Australia
6045BR,Branch,6045BR,"138,5744477","-34,93789048",Mile End South,West Torrens,Adelaide - West,South Australia,Australia
6046BR,Branch,6046BR,"137,550618","-33,036513",Whyalla,Whyalla,South Australia - Outback,South Australia,Australia
6047BR,Branch,6047BR,"138,501561","-35,116342",Lonsdale,Onkaparinga,Adelaide - South,South Australia,Australia
6048BR,Branch,6048BR,"138,60734","-34,827509",Pooraka,Salisbury,Adelaide - North,South Australia,Australia
6050BR,Branch,6880BR,"138,561516","-34,844707",Wingfield,Port Adelaide Enfield,Adelaide - West,South Australia,Australia
6052BR,Branch,6052BR,"138,6686","-34,71427",Elizabeth,Playford,Adelaide - North,South Australia,Australia
6053BR,Branch,6703BR,"138,502156","-35,116265",Lonsdale,Onkaparinga,Adelaide - South,South Australia,Australia
6055BR,Branch,6055BR,"138,6051426","-34,71777356",Direk,Salisbury,Adelaide - North,South Australia,Australia
6056BR,Branch,6880BR,"138,561516","-34,844707",Wingfield,Port Adelaide Enfield,Adelaide - West,South Australia,Australia
6091BR,Branch,6880BR,"138,561516","-34,844707",Wingfield,Port Adelaide Enfield,Adelaide - West,South Australia,Australia
6092BR,Branch,6880BR,"138,561516","-34,844707",Wingfield,Port Adelaide Enfield,Adelaide - West,South Australia,Australia
6702BR,Branch,6702BR,"138,5911088","-34,92531686",Adelaide,Adelaide,Adelaide - Central and Hills,South Australia,Australia
6886BR,Branch,6048BR,"138,60734","-34,827509",Pooraka,Salisbury,Adelaide - North,South Australia,Australia
7001BR,Branch,7001BR,"115,8086719","-31,9035783",Osborne Park,Stirling,Perth - North West,Western Australia,Australia
7002BR,Branch,7002BR,"115,6481147","-33,33308328",Bunbury,Bunbury,Bunbury,Western Australia,Australia
7003BR,Branch,7003BR,"115,9515","-32,02575",Cannington,Gosnells,Perth - South East,Western Australia,Australia
7004BR,Branch,7004BR,"121,48197","-30,75338",Kalgoorlie,Kalgoorlie/Boulder,Western Australia - Outback (South),Western Australia,Australia
7005BR,Branch,7005BR,"117,87343","-34,992945",Milpara,Albany,Western Australia - Wheat Belt,Western Australia,Australia
7006BR,Branch,7006BR,"114,6274","-28,7488",Geraldton,Geraldton-Greenough,Western Australia - Outback (South),Western Australia,Australia
7007BR,Branch,7007BR,"115,762638","-31,748977",Joondalup,Joondalup,Perth - North West,Western Australia,Australia
7008BR,Branch,7008BR,"115,740183","-32,51889876",Mandurah,Mandurah,Mandurah,Western Australia,Australia
7009BR,Branch,7009BR,"115,3435","-33,667",Busselton,Busselton,Bunbury,Western Australia,Australia
7010BR,Branch,7010BR,"115,8223237","-32,04435398",Myaree,Melville,Perth - South West,Western Australia,Australia
7011BR,Branch,7011BR,"116,033035","-31,886504",Midvale,Mundaring,Perth - North East,Western Australia,Australia
7012BR,Branch,7012BR,"115,8662391","-31,94625779",Perth,Perth,Perth - Inner,Western Australia,Australia
7013BR,Branch,7013BR,"115,778988","-32,276531",Rockingham,Rockingham,Perth - South West,Western Australia,Australia
7014BR,Branch,7014BR,"115,7609","-32,0764",Fremantle,Fremantle,Perth - South West,Western Australia,Australia
7015BR,Branch,7701BR,"115,92436","-31,957701",Belmont,Belmont,Perth - South East,Western Australia,Australia
7016BR,Branch,7701BR,"115,92436","-31,957701",Belmont,Belmont,Perth - South East,Western Australia,Australia
7017BR,Branch,7017BR,"115,895253","-31,898091",Morley,Bayswater,Perth - North East,Western Australia,Australia
7018BR,Branch,7018BR,"115,7863603","-31,98220805",Claremont,Claremont,Perth - Inner,Western Australia,Australia
7019BR,Branch,7019BR,"116,009594","-32,13048574",Kelmscott,Armadale,Perth - South East,Western Australia,Australia
7020BR,Branch,7705BR,"115,8962","-31,8559",Malaga,Swan,Perth - North East,Western Australia,Australia
7021BR,Branch,7021BR,"115,8314","-31,7985",Wangara,Wanneroo,Perth - North West,Western Australia,Australia
7022BR,Branch,7702BR,"115,9070984","-32,06025674",Canning Vale,Canning,Perth - South East,Western Australia,Australia
7023BR,Branch,7701BR,"115,92436","-31,957701",Belmont,Belmont,Perth - South East,Western Australia,Australia
7024BR,Branch,7895BR,"115,8131375","-31,909009",Osborne Park,Stirling,Perth - North West,Western Australia,Australia
7025BR,Branch,7018BR,"115,8131375","-31,909009",Osborne Park,Stirling,Perth - North West,Western Australia,Australia
7026BR,Branch,7702BR,"115,9070984","-32,06025674",Canning Vale,Canning,Perth - South East,Western Australia,Australia
7027BR,Branch,7027BR,"115,722242","-31,692504",Clarkson,Wanneroo,Perth - North West,Western Australia,Australia
7028BR,Branch,7028BR,"115,76197","-32,37033",Port Kennedy,Rockingham,Perth - South West,Western Australia,Australia
7029BR,Branch,7705BR,"115,8962","-31,8559",Malaga,Swan,Perth - North East,Western Australia,Australia
7031BR,Branch,7031BR,"115,867","-32,12059",Jandakot,Cockburn,Perth - South West,Western Australia,Australia
7034BR,Branch,7034BR,"115,81279","-31,90929",Osborne Park,Stirling,Perth - North West,Western Australia,Australia
7036BR,Branch,7001BR,"115,8086719","-31,9035783",Osborne Park,Stirling,Perth - North West,Western Australia,Australia
7037BR,Branch,7037BR,"115,07111","-33,96176",Margaret River,Augusta-Margaret River,Bunbury,Western Australia,Australia
7038BR,Branch,7038BR,"115,8104","-31,858331",Balcatta,Stirling,Perth - North West,Western Australia,Australia
7040BR,Branch,7040BR,"115,8361","-31,796935",Wangara,Wanneroo,Perth - North West,Western Australia,Australia
7042BR,Branch,7042BR,"118,601259","-20,378283",Wedgefield,Port Hedland,Western Australia - Outback (North),Western Australia,Australia
7044BR,Branch,7044BR,"115,913818","-32,063104",Canning Vale,Canning,Perth - South East,Western Australia,Australia
7045BR,Branch,7895BR,"115,8640299","-32,0974523",Jandakot,Cockburn,Perth - South West,Western Australia,Australia
7046BR,Branch,7046BR,"116,879768","-20,760458",Karratha,Roebourne,Western Australia - Outback (North),Western Australia,Australia
7047BR,Branch,7047BR,"115,680652","-33,35966",Davenport,Bunbury,Bunbury,Western Australia,Australia
7048BR,Branch,7048BR,"115,841914","-31,942524",West Leederville,Cambridge,Perth - Inner,Western Australia,Australia
7049BR,Branch,7049BR,"115,967225","-31,778598",Ellenbrook,Swan,Perth - North East,Western Australia,Australia
7050BR,Branch,7050BR,"115,9228525","-31,9482688",Belmont,Belmont,Perth - South East,Western Australia,Australia
7051BR,Branch,7051BR,"115,648967","-33,338791",Bunbury,Bunbury,Bunbury,Western Australia,Australia
7052BR,Branch,7052BR,"115,898607","-31,86567",Malaga,Swan,Perth - North East,Western Australia,Australia
7053BR,Branch,7053BR,"115,784356","-32,061307",O`Connor,Fremantle,Perth - South West,Western Australia,Australia
7054BR,Branch,7001BR,"115,810795","-31,9035783",Osborne Park,Stirling,Perth - North West,Western Australia,Australia
7055BR,Branch,7055BR,"115,865552","-32,122104",Jandakot,Cockburn,Perth - South West,Western Australia,Australia
7056BR,Branch,7056BR,"115,841953","-31,79159",Wangara,Wanneroo,Perth - North West,Western Australia,Australia
7057BR,Branch,7013BR,"115,778988","-32,276531",Rockingham,Rockingham,Perth - South West,Western Australia,Australia
7059BR,Branch,7059BR,"116,842559","-20,730956",Pegs Creek,Roebourne,Western Australia - Outback (North),Western Australia,Australia
7061BR,Branch,7895BR,"115,8640299","-32,0974523",Jandakot,Cockburn,Perth - South West,Western Australia,Australia
7067BR,Branch,7067BR,"115,838534","-31,795538",Wangara,Wanneroo,Perth - North West,Western Australia,Australia
7091BR,Branch,7895BR,"115,8131375","-31,909009",Osborne Park,Stirling,Perth - North West,Western Australia,Australia
7701BR,Branch,7701BR,"115,92436","-31,957701",Belmont,Belmont,Perth - South East,Western Australia,Australia
8001BR,Branch,8001BR,"147,3188279","-42,87920364",Hobart,Hobart,Hobart,Tasmania,Australia
8002BR,Branch,8002BR,"147,298858","-42,836275",Derwent Park,Glenorchy,Hobart,Tasmania,Australia
8003BR,Branch,8003BR,"147,2917898","-42,84241704",Moonah,Glenorchy,Hobart,Tasmania,Australia
8004BR,Branch,8004BR,"147,1331299","-41,4133077",Launceston,Launceston,Launceston and North East,Tasmania,Australia
8005BR,Branch,8703BR,"147,3932215","-42,86295191",Mornington,Clarence,Hobart,Tasmania,Australia
8007BR,Branch,8002BR,"147,298858","-42,836275",Derwent Park,Glenorchy,Hobart,Tasmania,Australia
8009BR,Branch,8009BR,"145,945436","-41,066891",Burnie,Burnie,West and North West,Tasmania,Australia
8010BR,Branch,8010BR,"147,3155075","-42,97303146",Kingston,Kingborough,Hobart,Tasmania,Australia
8011BR,Branch,8704BR,"146,33856","-41,18015",Devonport,Devonport,West and North West,Tasmania,Australia
8014BR,Branch,8020BR,"147,151822","-41,476459",Kings Meadows,Launceston,Launceston and North East,Tasmania,Australia
8015BR,Branch,8015BR,"147,143055","-41,451846",South Launceston,Launceston,Launceston and North East,Tasmania,Australia
8017BR,Branch,8017BR,"147,468873","-42,830154",Cambridge,Clarence,Hobart,Tasmania,Australia
8018BR,Branch,8704BR,"146,33856","-41,18015",Devonport,Devonport,West and North West,Tasmania,Australia
8019BR,Branch,8019BR,"147,289587","-42,841069",Moonah,Glenorchy,Hobart,Tasmania,Australia
8020BR,Branch,8020BR,"147,151837","-41,476456",Kings Meadows,Launceston,Launceston and North East,Tasmania,Australia
9001BR,Branch,9001BR,"130,9292967","-12,43686111",Berrimah,Darwin,Darwin,Northern Territory,Australia
9003BR,Branch,9003BR,"130,9907","-12,4735",Yarrawonga,Palmerston,Darwin,Northern Territory,Australia
9004BR,Branch,9004BR,"133,863","-23,6897",Alice Springs,Alice Springs,Northern Territory - Outback,Northern Territory,Australia
9005BR,Branch,9005BR,"130,8410394","-12,44729389",Stuart Park,Darwin,Darwin,Northern Territory,Australia
9006BR,Branch,9006BR,"130,855646","-12,401724",Coconut Grove,Darwin,Darwin,Northern Territory,Australia
9007BR,Branch,9001BR,"130,9292967","-12,43686111",Berrimah,Darwin,Darwin,Northern Territory,Australia
9008BR,Branch,9008BR,"130,869043","-12,428968",Winnellie,Darwin,Darwin,Northern Territory,Australia
9009BR,Branch,9001BR,"130,919819","-12,433273",Berrimah,Darwin,Darwin,Northern Territory,Australia
9010BR,Branch,9010BR,"130,99232","-12,472446",Yarrawonga,Palmerston,Darwin,Northern Territory,Australia
9012BR,Branch,9012BR,"132,288114","-14,476948",Katherine East,Katherine,Northern Territory - Outback,Northern Territory,Australia
9014BR,Branch,9001BR,"130,929319","-12,436948",Berrimah,Darwin,Darwin,Northern Territory,Australia